,source,author,title,description,url,urlToImage,publishedAt,content
84,"{'id': None, 'name': 'Castanet.net'}",,Collapse in oil prices triggers a plunge in energy sector - Business News - Castanet.net,"Collapse in oil prices triggers a plunge in energy sector - Business News Castanet.net TSX plunges as much as 10%, prompting trading halt Yahoo Canada Finance Biggest drop since '87 crash: US$218B lost in Canada stocks BNNBloomberg.ca Collapse in oil triggers…",https://www.castanet.net/news/Business/278946/Collapse-in-oil-prices-triggers-a-plunge-in-energy-sector,https://www.castanet.net/content/2020/3/NYRD104-39_2020_113651_p3443539.jpg,2020-03-09T20:55:00Z,UPDATE  pmCanadas main stock index closed down  per cent to its lowest level in  months as a collapse in oil prices triggers a plunge in the energy sectorThe SampPTSX composite index lost  points to close at  and the cap  chars
85,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,Chrystia Freeland calls for ‘whole of country’ response to prevent spread of coronavirus - The Globe and Mail,"Chrystia Freeland calls for ‘whole of country’ response to prevent spread of coronavirus The Globe and Mail Containment efforts will delay, not prevent, COVID-19 outbreak in Canada, Hajdu warns CBC.ca Global National: March 4, 2020 | How Canada is preparing f…",https://www.theglobeandmail.com/politics/article-chrystia-freeland-calls-for-whole-of-country-response-to-prevent/,https://www.theglobeandmail.com/resizer/NprVLTEaK64HZ8-6GWFIaM5OxpQ=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/4XTKAWTDANCVJK3NV4TCPYKNM4.jpg,2020-03-05T02:07:54Z,Deputy Prime Minister Chrystia Freeland and Health Minister Patty Hajdu both seen here at the National Press Theatre in Ottawa on March   said at the news conference that all Canadians have a role to play Justin TangThe Canadian PressDeputy Prim  chars
86,"{'id': None, 'name': 'Citynews1130.com'}",,Fed takes emergency steps to slash rates and ease bank rules - CityNews Vancouver,"Fed takes emergency steps to slash rates and ease bank rules CityNews Vancouver Federal Reserve slashes rates to zero, restarts QE Yahoo Canada Finance The Federal Reserve has taken massive steps to help markets. Here's what's left in its arsenal CNBC Coordin…",https://www.citynews1130.com/2020/03/15/fed-statement-sunday-announcing-emergency-action-for-economy/,https://www.citynews1130.com/wp-content/blogs.dir/sites/9/2019/09/NY116-731_2019_184903.jpg,2020-03-15T21:50:14Z,WASHINGTON The Federal Reserve took massive emergency action Sunday to help the economy withstand the coronavirus by slashing its benchmark interest rate to near zero and saying it would buy  billion in Treasury and mortgage bondsThe Feds surprise anno  chars
87,"{'id': None, 'name': 'Globalnews.ca'}",Laura Osman,Travellers from Iran face increased border screening in Canada as COVID-19 cases rise - Global News,"Travellers from Iran face increased border screening in Canada as COVID-19 cases rise Global News Ontario confirms 4 new COVID-19 cases CBC News Ontario reports three new coronavirus cases, bringing province's total to 18 The Globe and Mail Coronavirus outbre…",http://globalnews.ca/news/6620874/canada-border-screenings-iran/,https://shawglobalnews.files.wordpress.com/2020/02/mxmu101-228_2020_165625.jpg?quality=70&strip=all&w=720&h=379&crop=1,2020-03-02T22:32:18Z,The federal government has increased borderscreening measures for travellers arriving in Canada from Iran in light of the growing number of novel coronavirus cases linked to that countrySeveral of Canadas most recent  confirmed cases of the new coronav  chars
88,"{'id': None, 'name': 'Ctvnews.ca'}",Graham Slaughter,Canada confirms first 'community case' of COVID-19: Here's what that means - CTV News,"Canada confirms first 'community case' of COVID-19: Here's what that means CTV News 8 more cases of COVID-19 virus identified in B.C., including 1 of unknown origin CBC.ca Coronavirus outbreak: Canadian WHO doctor returns from China with critical COVID-19 les…",https://www.ctvnews.ca/health/coronavirus/canada-confirms-first-community-case-of-covid-19-here-s-what-that-means-1.4841249,https://www.ctvnews.ca/polopoly_fs/1.4841264.1583461677!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2020-03-06T02:30:00Z,TORONTO  A woman in BC has tested positive for COVID despite not having travelled recently and having no known contact with anyone infected with the virusUntil now all cases in Canada involved individuals who had recently travelled to countries s  chars
89,"{'id': None, 'name': 'Ctvnews.ca'}",,"Canada, U.S. working out details of cross-border non-essential travel ban - CTV News","Canada, U.S. working out details of cross-border non-essential travel ban CTV News How to apply for EI and COVID-19 emergency benefits CBC.ca PM: Canada-U.S. border closing; $27B in direct aid, $55B to businesses CTV News LILLEY: Trudeau steps up as virus cri…",https://www.ctvnews.ca/health/coronavirus/trudeau-to-update-on-covid-19-as-border-restricted-mps-prepare-to-pass-aid-package-1.4859341,https://www.ctvnews.ca/polopoly_fs/1.4856393.1584459162!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2020-03-19T09:15:18Z,OTTAWA  A week into his selfisolation Prime Minister Justin Trudeau will once again be addressing Canadians on the latest developments with the COVID pandemic and Canadas responseAfter delivering major news on two fronts on Wednesday  the closu  chars
90,"{'id': None, 'name': 'Globalnews.ca'}",kerribreen1,Coronavirus: Non-essential U.S.-Canada travel is being suspended. Here’s what that means - Global News,Coronavirus: Non-essential U.S.-Canada travel is being suspended. Here’s what that means Global News Trump administration limits nonessential travel between US and Mexico CNN Canada-U.S. border closing to non-essential travel at 12:01 a.m. ET CTV News US and …,http://globalnews.ca/news/6708564/non-essential-canada-us-travel-explained/,https://shawglobalnews.files.wordpress.com/2020/03/canada_us_social.jpg?quality=70&strip=all&w=720&h=379&crop=1,2020-03-21T00:52:10Z,New restrictions on travel between Canada and the US are being implemented in a bid to slow the spread of the novel coronavirusAs of midnight the US and Canada have agreed to permit only essential travel between the two countriesThat means those   chars
91,"{'id': None, 'name': 'Ctvnews.ca'}",Rory Sullivan,Canadian scientists discover ancient continent was larger than we thought - CTV News,Canadian scientists discover ancient continent was larger than we thought CTV News Lost fragment of ancient continent found at De Beers' project in Canada MINING.com Diamond samples in Canada reveal size of lost continent The Union Journal Canadian Scientists…,https://www.ctvnews.ca/world/canadian-scientists-discover-ancient-continent-was-larger-than-we-thought-1.4863658,https://www.ctvnews.ca/polopoly_fs/1.4863678.1584917074!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2020-03-22T23:23:08Z,Geologists in Canada have found that an ancient continent was  per cent larger than previously estimated after analyzing rock samples dug up during diamond exploration workResearchers from the University of British Columbia UBC made the chance discover  chars
92,"{'id': None, 'name': 'Castanet.net'}",,Privacy watchdog probes RCMP use of facial-recognition software - Canada News - Castanet.net,Privacy watchdog probes RCMP use of facial-recognition software - Canada News Castanet.net RCMP's use of Clearview AI facial recognition technology under investigation CBC.ca Facial recognition app Clearview AI has been used far more widely in Canada than pre…,https://www.castanet.net/news/Canada/278210/Privacy-watchdog-probes-RCMP-use-of-facial-recognition-software,https://www.castanet.net/content/2020/2/CPT11047520_p3441629.jpg,2020-02-28T18:30:00Z,The federal privacy commissioner is investigating the RCMPs use of cuttingedge facialrecognition softwareThe technology made by American company Clearview AI gathers huge numbers of images from various sources that can help police forces and financial i  chars
93,"{'id': None, 'name': 'Cyclingnews.com'}",Kirsten Frattini,Coronavirus: Canada and Australia become first nations to pull out of the 2020 Tokyo Olympic Games - Cyclingnews.com,Coronavirus: Canada and Australia become first nations to pull out of the 2020 Tokyo Olympic Games Cyclingnews.com View Full coverage on Google News,https://www.cyclingnews.com/news/coronavirus-canada-and-australia-become-first-nations-to-pull-out-of-the-2020-tokyo-olympic-games/,https://cdn.mos.cms.futurecdn.net/hsK38kj3qfHGUAqrMWJkJL-1200-80.jpg,2020-03-23T14:22:00Z,The Canadian Olympic Committee COC and Canadian Paralympic Committee CPC announced Sunday evening that they will not send athletes to compete at the Olympic Games scheduled to be held from July  to August  in Tokyo Canada is the first nation to pull o  chars
